Account,Day,Details,Amount,Balance,Transaction ID,Business Name
Margie Morgan (Katalytica Midtown Daily Wage),507,Wage,-1088.0,1813784.0,12.0,Katalytica
Nannie Gray (Katalytica Midtown Daily Wage),507,Wage,-968.0,1812816.0,12.0,Katalytica
Ben Stewart (Katalytica Midtown Daily Wage),507,Wage,-1016.0,1811800.0,12.0,Katalytica
Elise Martinez (Katalytica Midtown Daily Wage),507,Wage,-1088.0,1810712.0,12.0,Katalytica
Lois Ross (Katalytica Midtown Daily Wage),507,Wage,-936.0,1809776.0,12.0,Katalytica
Christen Hughes (Katalytica Midtown Daily Wage),507,Wage,-664.0,1809112.0,12.0,Katalytica
Lewis Morgan (Katalytica Midtown Daily Wage),507,Wage,-816.0,1807568.0,12.0,Katalytica
Patrick Walker (Katalytica Midtown Daily Wage),507,Wage,-1208.0,1791928.0,12.0,Katalytica
Public parking for UMC Desert,507,PublicParking,-120.0,1776457.0,,
Maya Hubbard (Katalytica Midtown Daily Wage),507,Wage,-392.0,1791008.0,12.0,Katalytica
Eva Smith (Karvin Kween Daily Wage),507,Wage,-125.0,1776851.0,9.0,Karvin Kween
Lillian Martinez (Elite Couture Daily Wage),507,Wage,-230.0,1776621.0,2.0,Elite Couture
Timothy Perry (Katalytica Midtown Daily Wage),507,Wage,-44.0,1776577.0,12.0,Katalytica
Justin Davis (Katar Midtown Daily Wage),507,Wage,-156.0,1823260.0,13.0,Katar Midtown
Public parking for Freight Truck T1,507,PublicParking,-180.0,1776277.0,,
Public parking for Anselmo AF90,507,PublicParking,-180.0,1776097.0,,
The Suits Law Firm Revenue,507,Revenue,57600.0,1833496.0,18.0,The Suits Law Firm
Pax Cox (Katalytica HK Daily Wage),507,Wage,-48.0,1776976.0,12.0,Katalytica
Katalytica HK Revenue,507,Revenue,9600.0,1842294.0,12.0,Katalytica
Kalico Midtown Revenue,507,Revenue,27990.0,1876706.0,4.0,Kalico Midtown
Karvin Kween Revenue,507,Revenue,10080.0,1886171.0,9.0,Karvin Kween
Elite Couture Revenue,507,Revenue,61410.0,1947070.0,2.0,Elite Couture
The Green Salad Revenue,507,Revenue,17739.0,1964558.0,17.0,The Green Salad
Elite Jewels Revenue,507,Revenue,197800.0,2161200.0,3.0,Elite Jewels
Katalytica Midtown Revenue,507,Revenue,163200.0,2323865.0,12.0,Katalytica
Katar Midtown Revenue,507,Revenue,63768.0,2386474.0,13.0,Katar Midtown
Karakata Associates Revenue,507,Revenue,6840.0,1849033.0,5.0,Karakata Associates
Sonny Foster (Katalytica HK Daily Wage),507,Wage,-984.0,1777024.0,12.0,Katalytica
Cloten Walker (Katalytica HK Daily Wage),507,Wage,-752.0,1778008.0,12.0,Katalytica
Sandy Hughes (Katalytica HK Daily Wage),507,Wage,-848.0,1778760.0,12.0,Katalytica
Kevin Wright (Katalytica Midtown Daily Wage),507,Wage,-344.0,1790664.0,12.0,Katalytica
Louise Green (Katalytica Midtown Daily Wage),507,Wage,-368.0,1790296.0,12.0,Katalytica
Marino Parker (Katalytica Midtown Daily Wage),507,Wage,-344.0,1789952.0,12.0,Katalytica
Eloise Powell (Katalytica Midtown Daily Wage),507,Wage,-528.0,1789424.0,12.0,Katalytica
Nancy Butler (Katalytica Midtown Daily Wage),507,Wage,-504.0,1788920.0,12.0,Katalytica
Layla Bell (Katalytica Midtown Daily Wage),507,Wage,-408.0,1788080.0,12.0,Katalytica
Martin Anderson (Katalytica Midtown Daily Wage),507,Wage,-552.0,1787528.0,12.0,Katalytica
Scott Parker (Katalytica Midtown Daily Wage),507,Wage,-512.0,1787016.0,12.0,Katalytica
Taylor Green (Katalytica HK Daily Wage),507,Wage,-632.0,1786384.0,12.0,Katalytica
Sebastian Hughes (Katalytica HK Daily Wage),507,Wage,-752.0,1785632.0,12.0,Katalytica
Annabel Morris (Katalytica HK Daily Wage),507,Wage,-1296.0,1784336.0,12.0,Katalytica
Caleb Smith (Katalytica HK Daily Wage),507,Wage,-680.0,1783656.0,12.0,Katalytica
Leo Carter (Katalytica HK Daily Wage),507,Wage,-584.0,1783072.0,12.0,Katalytica
Sebastian Miles (Katalytica HK Daily Wage),507,Wage,-472.0,1782600.0,12.0,Katalytica
Vincent Butler (Katalytica HK Daily Wage),507,Wage,-1128.0,1781472.0,12.0,Katalytica
Treasigh Ward (Katalytica HK Daily Wage),507,Wage,-592.0,1780880.0,12.0,Katalytica
Westbrook Lee (Katalytica HK Daily Wage),507,Wage,-1272.0,1779608.0,12.0,Katalytica
Curtis Green (Katalytica Midtown Daily Wage),507,Wage,-528.0,1791400.0,12.0,Katalytica
Curtis Jackson (Katar Midtown Daily Wage),507,Wage,-144.0,1823416.0,13.0,Katar Midtown
Reuben Sanchez (Katalytica Midtown Daily Wage),507,Wage,-432.0,1788488.0,12.0,Katalytica
Homer Foster (Karakata Associates Daily Wage),507,Wage,-736.0,1823600.0,5.0,Karakata Associates
Marketing campaigns for Karvin Kween,507,Marketing,-1350.0,2128044.0,9.0,Karvin Kween
Marketing campaigns for Elite Couture,507,Marketing,-1350.0,2126694.0,2.0,Elite Couture
Marketing campaigns for The Green Salad,507,Marketing,-1350.0,2125344.0,17.0,The Green Salad
Marketing campaigns for Elite Jewels,507,Marketing,-9350.0,2115994.0,3.0,Elite Jewels
Marketing campaigns for Katalytica Midtown,507,Marketing,-6350.0,2109644.0,12.0,Katalytica
Marketing campaigns for Katar Midtown,507,Marketing,-9350.0,2100294.0,13.0,Katar Midtown
SeaKing 8000 maintenance,507,BoatYearlyMaintenance,-250000.0,1850294.0,,
Marketing campaigns for Kalico Midtown,507,Marketing,-2750.0,2129394.0,4.0,Kalico Midtown
Evie Jones (Katalytica Midtown Daily Wage),507,Wage,-448.0,1851668.0,12.0,Katalytica
Merit Johnson (Karakata Holdings Daily Wage),507,Wage,-224.0,1851260.0,,
Lara Norris (Warehouse #1 Daily Wage),507,Wage,-153.9,1851106.0,,
Grover Brown (Karakata Holdings Daily Wage),507,Wage,-200.0,1850906.0,,
Olivia Cox (Katalytica Midtown Daily Wage),507,Wage,-432.0,1850474.0,12.0,Katalytica
Mollie Jenkins (Karakata Holdings Daily Wage),507,Wage,-224.0,1850250.0,,
Abbie Lopez (Katar Midtown Daily Wage),507,Wage,-168.0,1850082.0,13.0,Katar Midtown
Traci Parker (Elite Jewels Daily Wage),507,Wage,-52.0,1850030.0,3.0,Elite Jewels
Christian Hall (Karakata Holdings Daily Wage),507,Wage,-184.0,1851484.0,,
Douglas Collins (Karakata Holdings Daily Wage),507,Wage,-44.0,1849986.0,,
Marketing campaigns for Karakata Associates,507,Marketing,-500.0,2132144.0,5.0,Karakata Associates
Marketing campaigns for The Suits Law Firm,507,Marketing,-2750.0,2135394.0,18.0,The Suits Law Firm
Sadie Powell (Karakata Associates Daily Wage),507,Wage,-40.0,1823560.0,5.0,Karakata Associates
31 1st Avenue Rent,507,Rent,-201.106,1612983.0,,
14 2nd Avenue Rent,507,Rent,-731.0999,1679452.0,,
9 1st Street Rent,507,Rent,-70.98742,1679381.0,,
59 3rd Street Rent,507,Rent,-75.99196,1688905.0,,
29 5th Avenue Rent,507,Rent,-24.32862,1688880.0,,
29 1st Avenue Rent,507,Rent,-317.3102,1695403.0,,
Marketing campaigns for Katalytica HK,507,Marketing,-2750.0,2132644.0,12.0,Katalytica
24 2nd Avenue Rent,507,Rent,-460.3931,1723509.0,,
21 5th Avenue Rent,507,Rent,-145.9717,1734608.0,,
5 8th Street Rent,507,Rent,-135.4097,1734243.0,,
19 1st Avenue Rent,507,Rent,-250.508,1806292.0,,
30 2nd Avenue Rent,507,Rent,-1158.506,1823046.0,,
44 1st Avenue Rent,507,Rent,-535.2296,2055910.0,,
6 3rd Avenue Rent,507,Rent,-1158.506,2248352.0,,
Delivery from United Ocean Import ,507,ImportDelivery,-176831.5,2138144.0,,
3 2nd Avenue Rent,507,Rent,-154.5364,1723354.0,,
Dominic Fisher (Elite Jewels Daily Wage),507,Wage,-184.0,1849802.0,3.0,Elite Jewels
33 5th Avenue Rent,507,Rent,-230.1557,1734378.0,,
Scarlett Davis (Elite Couture Daily Wage),507,Wage,-66.0,1849520.0,2.0,Elite Couture
Ruth Gray (The Suits Law Firm Daily Wage),507,Wage,-1632.0,1842832.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),507,Wage,-1400.0,1841432.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),507,Wage,-1512.0,1839920.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),507,Wage,-888.0,1839032.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),507,Wage,-1024.0,1838008.0,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),507,Wage,-1344.0,1836664.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),507,Wage,-1368.0,1835296.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),507,Wage,-968.0,1834328.0,18.0,The Suits Law Firm
Zoe Foster (Katar Midtown Daily Wage),507,Wage,-300.0,1844464.0,13.0,Katar Midtown
Owen Martin (The Suits Law Firm Daily Wage),507,Wage,-1456.0,1832872.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),507,Wage,-1544.0,1828760.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),507,Wage,-888.0,1827872.0,18.0,The Suits Law Firm
Lilly Harris (Elite Couture Daily Wage),507,Wage,-216.0,1849586.0,2.0,Elite Couture
Kevin Bennett (The Suits Law Firm Daily Wage),507,Wage,-56.0,1827816.0,18.0,The Suits Law Firm
Sonny Mitchell (Karakata Associates Daily Wage),507,Wage,-968.0,1826848.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),507,Wage,-984.0,1825864.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),507,Wage,-616.0,1825248.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),507,Wage,-912.0,1824336.0,5.0,Karakata Associates
Louise Gomez (The Suits Law Firm Daily Wage),507,Wage,-1600.0,1830304.0,18.0,The Suits Law Firm
Mark Nelson (Katar Midtown Daily Wage),507,Wage,-258.0,1844764.0,13.0,Katar Midtown
Courtney Nicholson (The Suits Law Firm Daily Wage),507,Wage,-968.0,1831904.0,18.0,The Suits Law Firm
Jennifer Kelly (The Green Salad Daily Wage),507,Wage,-350.0,1845270.0,17.0,The Green Salad
Christen Butler (Elite Jewels Daily Wage),507,Wage,-480.0,1849040.0,3.0,Elite Jewels
Katie Ward (Elite Jewels Daily Wage),507,Wage,-256.0,1848784.0,3.0,Elite Jewels
Bradley Turner (Karvin Kween Daily Wage),507,Wage,-360.0,1848424.0,9.0,Karvin Kween
Eliza Owens (Katar Midtown Daily Wage),507,Wage,-216.0,1848208.0,13.0,Katar Midtown
Zoe Cooper (The Green Salad Daily Wage),507,Wage,-248.0,1845022.0,17.0,The Green Salad
Georgina Lopez (Karakata Holdings Daily Wage),507,Wage,-192.0,1847808.0,,
Zachary Hill (Warehouse #2 Daily Wage),507,Wage,-159.6,1847648.0,,
Emilia White (Kalico Midtown Daily Wage),507,Wage,-224.0,1847424.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),507,Wage,-250.0,1847174.0,4.0,Kalico Midtown
Kathryn James (Karakata Holdings Daily Wage),507,Wage,-208.0,1848000.0,,
Ralph Hughes (The Green Salad Daily Wage),507,Wage,-266.0,1846236.0,17.0,The Green Salad
Joel Rogers (Kalico Midtown Daily Wage),507,Wage,-240.0,1846502.0,4.0,Kalico Midtown
Helen Watson (The Green Salad Daily Wage),507,Wage,-616.0,1845620.0,17.0,The Green Salad
Eve Sullivan (Kalico Midtown Daily Wage),507,Wage,-240.0,1846742.0,4.0,Kalico Midtown
Traci Miles (Karakata Holdings Daily Wage),507,Wage,-192.0,1846982.0,,
Margie Stewart (Katalytica Midtown Daily Wage),508,Wage,-608.0,2306069.0,12.0,Katalytica
Gawen Myers (Katalytica Midtown Daily Wage),508,Wage,-936.0,2305133.0,12.0,Katalytica
Natalie Cook (Katalytica Midtown Daily Wage),508,Wage,-832.0,2304301.0,12.0,Katalytica
Curtis Baker (Katalytica Midtown Daily Wage),508,Wage,-600.0,2303701.0,12.0,Katalytica
Lydia Martin (Katalytica Midtown Daily Wage),508,Wage,-504.0,2303197.0,12.0,Katalytica
Isaac Edwards (Katalytica Midtown Daily Wage),508,Wage,-736.0,2302461.0,12.0,Katalytica
Michelle Ross (Katalytica Midtown Daily Wage),508,Wage,-904.0,2318557.0,12.0,Katalytica
Ruth Watson (Katalytica Midtown Daily Wage),508,Wage,-688.0,2301037.0,12.0,Katalytica
Yasmin Wilson (Katalytica Midtown Daily Wage),508,Wage,-1016.0,2300021.0,12.0,Katalytica
Alan Torres (Katalytica Midtown Daily Wage),508,Wage,-872.0,2299149.0,12.0,Katalytica
Hollie Rogers (Katalytica Midtown Daily Wage),508,Wage,-600.0,2298549.0,12.0,Katalytica
Harriet Carr (Katalytica Midtown Daily Wage),508,Wage,-496.0,2298053.0,12.0,Katalytica
Annie Edwards (Katalytica Midtown Daily Wage),508,Wage,-704.0,2297349.0,12.0,Katalytica
Summer Sullivan (Katalytica Midtown Daily Wage),508,Wage,-568.0,2296781.0,12.0,Katalytica
Jason Russell (Katalytica Midtown Daily Wage),508,Wage,-1168.0,2295613.0,12.0,Katalytica
Lillie Peterson (Katalytica Midtown Daily Wage),508,Wage,-856.0,2306677.0,12.0,Katalytica
Maya Roberts (Katalytica Midtown Daily Wage),508,Wage,-736.0,2301725.0,12.0,Katalytica
Madeleine Scott (Katalytica Midtown Daily Wage),508,Wage,-728.0,2308349.0,12.0,Katalytica
Traci Hughes (Katalytica Midtown Daily Wage),508,Wage,-1016.0,2319461.0,12.0,Katalytica
Justin Davis (Katar Midtown Daily Wage),508,Wage,-312.0,2321612.0,13.0,Katar Midtown
Georgia Howell (Katalytica Midtown Daily Wage),508,Wage,-1168.0,2317389.0,12.0,Katalytica
Sally Ross (Katalytica Midtown Daily Wage),508,Wage,-1248.0,2316141.0,12.0,Katalytica
Velma Fisher (Katalytica Midtown Daily Wage),508,Wage,-592.0,2295021.0,12.0,Katalytica
Eloise Watson (Katalytica Midtown Daily Wage),508,Wage,-1272.0,2314869.0,12.0,Katalytica
Curtis Harris (Katar Midtown Daily Wage),508,Wage,-63.0,2321549.0,13.0,Katar Midtown
Eliza Brooks (Katalytica Midtown Daily Wage),508,Wage,-1072.0,2313797.0,12.0,Katalytica
Lewis Morgan (Katalytica Midtown Daily Wage),508,Wage,-816.0,2307533.0,12.0,Katalytica
Tobias Barker (Katalytica Midtown Daily Wage),508,Wage,-488.0,2313309.0,12.0,Katalytica
Dell Nelson (Katalytica Midtown Daily Wage),508,Wage,-528.0,2312781.0,12.0,Katalytica
Ben Stewart (Katalytica Midtown Daily Wage),508,Wage,-1016.0,2311765.0,12.0,Katalytica
Elise Martinez (Katalytica Midtown Daily Wage),508,Wage,-1088.0,2310677.0,12.0,Katalytica
Zoe Campbell (Karakata Holdings Daily Wage),508,Wage,-232.0,2321317.0,,
Theodore Brown (Karakata Holdings Daily Wage),508,Wage,-160.0,2321157.0,,
Lois Ross (Katalytica Midtown Daily Wage),508,Wage,-936.0,2309741.0,12.0,Katalytica
Christen Hughes (Katalytica Midtown Daily Wage),508,Wage,-664.0,2309077.0,12.0,Katalytica
Annabel Myers (Katalytica Midtown Daily Wage),508,Wage,-680.0,2320477.0,12.0,Katalytica
Rosie Garcia (Katalytica Midtown Daily Wage),508,Wage,-1016.0,2294005.0,12.0,Katalytica
Sebastian Miles (Katalytica HK Daily Wage),508,Wage,-472.0,2283469.0,12.0,Katalytica
Curtis Green (Katalytica Midtown Daily Wage),508,Wage,-528.0,2292269.0,12.0,Katalytica
Sonny Foster (Katalytica HK Daily Wage),508,Wage,-984.0,2277893.0,12.0,Katalytica
Pax Cox (Katalytica HK Daily Wage),508,Wage,-48.0,2277845.0,12.0,Katalytica
Eva Smith (Karvin Kween Daily Wage),508,Wage,-250.0,2277595.0,9.0,Karvin Kween
Public parking for UMC Desert,508,PublicParking,-120.0,2277475.0,,
Public parking for Freight Truck T1,508,PublicParking,-180.0,2277295.0,,
Public parking for Anselmo AF90,508,PublicParking,-180.0,2277115.0,,
The Suits Law Firm Revenue,508,Revenue,67200.0,2344114.0,18.0,The Suits Law Firm
Cloten Walker (Katalytica HK Daily Wage),508,Wage,-752.0,2278877.0,12.0,Katalytica
Katalytica HK Revenue,508,Revenue,9600.0,2352912.0,12.0,Katalytica
Kalico Midtown Revenue,508,Revenue,28598.0,2387932.0,4.0,Kalico Midtown
Karvin Kween Revenue,508,Revenue,11400.0,2398717.0,9.0,Karvin Kween
Elite Couture Revenue,508,Revenue,73550.0,2471756.0,2.0,Elite Couture
The Green Salad Revenue,508,Revenue,18085.0,2489590.0,17.0,The Green Salad
Elite Jewels Revenue,508,Revenue,233400.0,2721832.0,3.0,Elite Jewels
Katalytica Midtown Revenue,508,Revenue,193600.0,2914896.0,12.0,Katalytica
Katar Midtown Revenue,508,Revenue,66492.0,2980230.0,13.0,Katar Midtown
Karakata Associates Revenue,508,Revenue,6840.0,2359652.0,5.0,Karakata Associates
Sandy Hughes (Katalytica HK Daily Wage),508,Wage,-848.0,2279629.0,12.0,Katalytica
Westbrook Lee (Katalytica HK Daily Wage),508,Wage,-1272.0,2280477.0,12.0,Katalytica
Treasigh Ward (Katalytica HK Daily Wage),508,Wage,-592.0,2281749.0,12.0,Katalytica
Maya Hubbard (Katalytica Midtown Daily Wage),508,Wage,-392.0,2291877.0,12.0,Katalytica
Kevin Wright (Katalytica Midtown Daily Wage),508,Wage,-344.0,2291533.0,12.0,Katalytica
Louise Green (Katalytica Midtown Daily Wage),508,Wage,-368.0,2291165.0,12.0,Katalytica
Marino Parker (Katalytica Midtown Daily Wage),508,Wage,-344.0,2290821.0,12.0,Katalytica
Eloise Powell (Katalytica Midtown Daily Wage),508,Wage,-528.0,2290293.0,12.0,Katalytica
Nancy Butler (Katalytica Midtown Daily Wage),508,Wage,-504.0,2289789.0,12.0,Katalytica
Reuben Sanchez (Katalytica Midtown Daily Wage),508,Wage,-432.0,2289357.0,12.0,Katalytica
Layla Bell (Katalytica Midtown Daily Wage),508,Wage,-408.0,2288949.0,12.0,Katalytica
Martin Anderson (Katalytica Midtown Daily Wage),508,Wage,-552.0,2288397.0,12.0,Katalytica
Scott Parker (Katalytica Midtown Daily Wage),508,Wage,-512.0,2287885.0,12.0,Katalytica
Taylor Green (Katalytica HK Daily Wage),508,Wage,-632.0,2287253.0,12.0,Katalytica
Sebastian Hughes (Katalytica HK Daily Wage),508,Wage,-752.0,2286501.0,12.0,Katalytica
Annabel Morris (Katalytica HK Daily Wage),508,Wage,-1296.0,2285205.0,12.0,Katalytica
Caleb Smith (Katalytica HK Daily Wage),508,Wage,-680.0,2284525.0,12.0,Katalytica
Leo Carter (Katalytica HK Daily Wage),508,Wage,-584.0,2283941.0,12.0,Katalytica
Curtis Jackson (Katar Midtown Daily Wage),508,Wage,-288.0,2321924.0,13.0,Katar Midtown
Vincent Butler (Katalytica HK Daily Wage),508,Wage,-1128.0,2282341.0,12.0,Katalytica
Patrick Walker (Katalytica Midtown Daily Wage),508,Wage,-1208.0,2292797.0,12.0,Katalytica
Sadie Powell (Karakata Associates Daily Wage),508,Wage,-40.0,2322212.0,5.0,Karakata Associates
Ava Powell (The Suits Law Firm Daily Wage),508,Wage,-1400.0,2339584.0,18.0,The Suits Law Firm
Roosevelt Wright (Karakata Associates Daily Wage),508,Wage,-912.0,2322988.0,5.0,Karakata Associates
Marketing campaigns for Katalytica HK,508,Marketing,-2750.0,2380974.0,12.0,Katalytica
Marketing campaigns for Karakata Associates,508,Marketing,-500.0,2380474.0,5.0,Karakata Associates
Marketing campaigns for Kalico Midtown,508,Marketing,-2750.0,2377724.0,4.0,Kalico Midtown
Marketing campaigns for Karvin Kween,508,Marketing,-1350.0,2376374.0,9.0,Karvin Kween
Marketing campaigns for Elite Couture,508,Marketing,-1350.0,2375024.0,2.0,Elite Couture
Marketing campaigns for The Green Salad,508,Marketing,-1350.0,2373674.0,17.0,The Green Salad
Marketing campaigns for Elite Jewels,508,Marketing,-9350.0,2364324.0,3.0,Elite Jewels
Marketing campaigns for The Suits Law Firm,508,Marketing,-2750.0,2383724.0,18.0,The Suits Law Firm
Marketing campaigns for Katalytica Midtown,508,Marketing,-6350.0,2357974.0,12.0,Katalytica
Evie Jones (Katalytica Midtown Daily Wage),508,Wage,-448.0,2350046.0,12.0,Katalytica
Lily Barton (Katalytica Midtown Daily Wage),508,Wage,-344.0,2349702.0,12.0,Katalytica
Christian Hall (Karakata Holdings Daily Wage),508,Wage,-184.0,2349518.0,,
Merit Johnson (Karakata Holdings Daily Wage),508,Wage,-224.0,2349294.0,,
Lara Norris (Warehouse #1 Daily Wage),508,Wage,-153.9,2349140.0,,
Grover Brown (Karakata Holdings Daily Wage),508,Wage,-200.0,2348940.0,,
Olivia Cox (Katalytica Midtown Daily Wage),508,Wage,-432.0,2348508.0,12.0,Katalytica
Marketing campaigns for Katar Midtown,508,Marketing,-9350.0,2348624.0,13.0,Katar Midtown
Tristan Barker (Katalytica Midtown Daily Wage),508,Wage,-536.0,2347972.0,12.0,Katalytica
6 3rd Avenue Rent,508,Rent,-1158.506,2322706.0,,
30 2nd Avenue Rent,508,Rent,-1158.506,1963400.0,,
15 4th Avenue rent revenue,508,RentRevenue,646.2123,1852116.0,,
62 5th Avenue rent revenue,508,RentRevenue,882.1349,1851469.0,,
44 3rd Street rent revenue,508,RentRevenue,177.2649,1850587.0,,
42 3rd Street rent revenue,508,RentRevenue,115.6746,1850410.0,,
31 1st Avenue Rent,508,Rent,-201.106,1775896.0,,
14 2nd Avenue Rent,508,Rent,-731.0999,1832765.0,,
9 1st Street Rent,508,Rent,-70.98742,1832694.0,,
44 1st Avenue Rent,508,Rent,-535.2296,2160665.0,,
59 3rd Street Rent,508,Rent,-75.99196,1842218.0,,
29 1st Avenue Rent,508,Rent,-317.3102,1848716.0,,
24 2nd Avenue Rent,508,Rent,-460.3931,1876246.0,,
3 2nd Avenue Rent,508,Rent,-154.5364,1876091.0,,
21 5th Avenue Rent,508,Rent,-145.9717,1886025.0,,
33 5th Avenue Rent,508,Rent,-230.1557,1885795.0,,
5 8th Street Rent,508,Rent,-135.4097,1885660.0,,
19 1st Avenue Rent,508,Rent,-250.508,1946819.0,,
29 5th Avenue Rent,508,Rent,-24.32862,1842193.0,,
Homer Foster (Karakata Associates Daily Wage),508,Wage,-736.0,2322252.0,5.0,Karakata Associates
Mollie Jenkins (Karakata Holdings Daily Wage),508,Wage,-224.0,2347748.0,,
Curtis Norris (Elite Jewels Daily Wage),508,Wage,-368.0,2346984.0,3.0,Elite Jewels
Helen Richardson (The Suits Law Firm Daily Wage),508,Wage,-800.0,2338784.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),508,Wage,-1512.0,2337272.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),508,Wage,-888.0,2336384.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),508,Wage,-1024.0,2335360.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),508,Wage,-1368.0,2333992.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),508,Wage,-968.0,2333024.0,18.0,The Suits Law Firm
Isabel Roberts (The Suits Law Firm Daily Wage),508,Wage,-1344.0,2331680.0,18.0,The Suits Law Firm
Ruth Gray (The Suits Law Firm Daily Wage),508,Wage,-1632.0,2340984.0,18.0,The Suits Law Firm
Courtney Nicholson (The Suits Law Firm Daily Wage),508,Wage,-968.0,2330712.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),508,Wage,-772.0,2328340.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),508,Wage,-888.0,2327452.0,18.0,The Suits Law Firm
Margaret Smith (The Suits Law Firm Daily Wage),508,Wage,-928.0,2326524.0,18.0,The Suits Law Firm
Kevin Bennett (The Suits Law Firm Daily Wage),508,Wage,-56.0,2326468.0,18.0,The Suits Law Firm
Sonny Mitchell (Karakata Associates Daily Wage),508,Wage,-968.0,2325500.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),508,Wage,-984.0,2324516.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),508,Wage,-616.0,2323900.0,5.0,Karakata Associates
Louise Gomez (The Suits Law Firm Daily Wage),508,Wage,-1600.0,2329112.0,18.0,The Suits Law Firm
Annabelle Stewart (Katar Midtown Daily Wage),508,Wage,-396.0,2347352.0,13.0,Katar Midtown
Zoe Cooper (The Green Salad Daily Wage),508,Wage,-186.0,2342616.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),508,Wage,-616.0,2343026.0,17.0,The Green Salad
Traci Parker (Elite Jewels Daily Wage),508,Wage,-52.0,2346932.0,3.0,Elite Jewels
Douglas Collins (Karakata Holdings Daily Wage),508,Wage,-44.0,2346888.0,,
Frederick Kelly (Elite Couture Daily Wage),508,Wage,-27.0,2346677.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),508,Wage,-288.0,2346389.0,2.0,Elite Couture
Scarlett Davis (Elite Couture Daily Wage),508,Wage,-264.0,2346125.0,2.0,Elite Couture
Katie Ward (Elite Jewels Daily Wage),508,Wage,-256.0,2345869.0,3.0,Elite Jewels
Bradley Turner (Karvin Kween Daily Wage),508,Wage,-90.0,2345779.0,9.0,Karvin Kween
Harvey Anderson (The Green Salad Daily Wage),508,Wage,-224.0,2342802.0,17.0,The Green Salad
Justin Mitchell (Karvin Kween Daily Wage),508,Wage,-156.0,2345623.0,9.0,Karvin Kween
Georgina Lopez (Karakata Holdings Daily Wage),508,Wage,-192.0,2345223.0,,
Zachary Hill (Warehouse #2 Daily Wage),508,Wage,-159.6,2345064.0,,
Emilia White (Kalico Midtown Daily Wage),508,Wage,-224.0,2344840.0,4.0,Kalico Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),508,Wage,-200.0,2344640.0,4.0,Kalico Midtown
Traci Miles (Karakata Holdings Daily Wage),508,Wage,-192.0,2344448.0,,
Eve Sullivan (Kalico Midtown Daily Wage),508,Wage,-300.0,2344148.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),508,Wage,-240.0,2343908.0,4.0,Kalico Midtown
Ralph Hughes (The Green Salad Daily Wage),508,Wage,-266.0,2343642.0,17.0,The Green Salad
Kathryn James (Karakata Holdings Daily Wage),508,Wage,-208.0,2345415.0,,
Dominic Fisher (Elite Jewels Daily Wage),508,Wage,-184.0,2346704.0,3.0,Elite Jewels
Ruth Watson (Katalytica Midtown Daily Wage),509,Wage,-688.0,2901053.0,12.0,Katalytica
Alan Torres (Katalytica Midtown Daily Wage),509,Wage,-872.0,2899165.0,12.0,Katalytica
42 3rd Street rent revenue,509,RentRevenue,115.6746,2348740.0,,
Kevin Bennett (The Suits Law Firm Daily Wage),509,Wage,-56.0,2921429.0,18.0,The Suits Law Firm
Leah Martin (The Suits Law Firm Daily Wage),509,Wage,-1128.0,2921485.0,18.0,The Suits Law Firm
Margaret Smith (The Suits Law Firm Daily Wage),509,Wage,-928.0,2922613.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),509,Wage,-888.0,2923541.0,18.0,The Suits Law Firm
