Account,Day,Details,Amount,Balance
Abbie Lopez (Katar Spirits Daily Wage),154,Wage,-224.0,278231.1
Elite Jewels Revenue,154,Revenue,22500.0,300666.8
Katar Spirits Revenue,154,Revenue,5577.0,306107.7
Katalytica Revenue,154,Revenue,10800.0,316779.6
Karvin Kueen Revenue,154,Revenue,1870.0,318607.4
Marketing campaigns for Elite Jewels,155,Marketing,-500.0,318107.4
Marketing campaigns for Katar Spirits,155,Marketing,-500.0,317607.4
Marketing campaigns for Katalytica,155,Marketing,-500.0,317107.4
Marketing campaigns for Karvin Kueen,155,Marketing,-500.0,316607.4
Evie Jones (Katalytica Daily Wage),155,Wage,-448.0,143208.9
Lily Barton (Katalytica Daily Wage),155,Wage,-344.0,142864.9
Zoe Gomez (Elite Jewels Daily Wage),155,Wage,-256.0,142608.9
Tommy Brooks (Katalytica Daily Wage),155,Wage,-44.0,142564.9
Maria Willis (Karvin Kueen Daily Wage),155,Wage,-200.0,141603.0
Lindsey Richardson (Elite Jewels Daily Wage),155,Wage,-125.0,141478.0
Olivia Cox (Katalytica Daily Wage),155,Wage,-432.0,141046.0
Maya Turner (Karvin Kueen Daily Wage),155,Wage,-32.0,141014.0
Oscar Evans (Katar Spirits Daily Wage),155,Wage,-46.0,140744.0
Annabelle Stewart (Katar Spirits Daily Wage),155,Wage,-264.0,140480.0
Elite Jewels Revenue,155,Revenue,17500.0,157870.7
Katar Spirits Revenue,155,Revenue,4812.0,162546.6
Katalytica Revenue,155,Revenue,5400.0,167818.5
Karvin Kueen Revenue,155,Revenue,1870.0,169646.3
Marketing campaigns for Elite Jewels,156,Marketing,-500.0,167987.8
Marketing campaigns for Katar Spirits,156,Marketing,-500.0,167487.8
Marketing campaigns for Katalytica,156,Marketing,-500.0,166987.8
Marketing campaigns for Karvin Kueen,156,Marketing,-500.0,166487.8
Evie Jones (Katalytica Daily Wage),156,Wage,-448.0,594919.8
Lily Barton (Katalytica Daily Wage),156,Wage,-344.0,594575.8
Zoe Gomez (Elite Jewels Daily Wage),156,Wage,-32.0,594543.8
Tommy Brooks (Katalytica Daily Wage),156,Wage,-44.0,594499.8
Maria Willis (Karvin Kueen Daily Wage),156,Wage,-200.0,593537.9
Lindsey Richardson (Elite Jewels Daily Wage),156,Wage,-25.0,593512.9
Olivia Cox (Katalytica Daily Wage),156,Wage,-432.0,593080.9
Maya Turner (Karvin Kueen Daily Wage),156,Wage,-32.0,593048.9
Oscar Evans (Katar Spirits Daily Wage),156,Wage,-46.0,592778.9
Annabelle Stewart (Katar Spirits Daily Wage),156,Wage,-264.0,592514.9
Katar Spirits Revenue,156,Revenue,4491.0,599140.5
Katalytica Revenue,156,Revenue,5400.0,604412.4
Karvin Kueen Revenue,156,Revenue,1870.0,606240.2
Marketing campaigns for Katar Spirits,157,Marketing,-500.0,140444.7
Marketing campaigns for Katalytica,157,Marketing,-500.0,139944.7
Marketing campaigns for Karvin Kueen,157,Marketing,-500.0,139444.7
Marketing campaigns for Elite Jewels,157,Marketing,-6000.0,133438.7
Marketing campaigns for Elite Jewels,157,Marketing,-500.0,137758.3
Evie Jones (Katalytica Daily Wage),157,Wage,-448.0,137307.3
Tommy Brooks (Katalytica Daily Wage),157,Wage,-44.0,137263.3
Maria Willis (Karvin Kueen Daily Wage),157,Wage,-200.0,136301.3
Lindsey Richardson (Elite Jewels Daily Wage),157,Wage,-50.0,136251.3
Olivia Cox (Katalytica Daily Wage),157,Wage,-432.0,135819.3
Maya Turner (Karvin Kueen Daily Wage),157,Wage,-32.0,135787.3
Oscar Evans (Katar Spirits Daily Wage),157,Wage,-46.0,135517.3
Annabelle Stewart (Katar Spirits Daily Wage),157,Wage,-264.0,135253.3
Curtis Norris (Elite Jewels Daily Wage),157,Wage,-46.0,135207.3
Dominic Fisher (Elite Jewels Daily Wage),157,Wage,-46.0,135161.3
Katar Spirits Revenue,157,Revenue,3843.0,138868.2
Katalytica Revenue,157,Revenue,5400.0,144140.1
Karvin Kueen Revenue,157,Revenue,1360.0,145457.9
Elite Jewels Revenue,157,Revenue,4000.0,148299.4
Marketing campaigns for Katar Spirits,158,Marketing,-500.0,147381.4
Marketing campaigns for Katalytica,158,Marketing,-500.0,146881.4
Marketing campaigns for Karvin Kueen,158,Marketing,-500.0,146381.4
Marketing campaigns for Elite Jewels,158,Marketing,-6500.0,139881.4
Evie Jones (Katalytica Daily Wage),158,Wage,-448.0,139433.4
Tommy Brooks (Katalytica Daily Wage),158,Wage,-44.0,139389.4
Maria Willis (Karvin Kueen Daily Wage),158,Wage,-200.0,138427.5
Lindsey Richardson (Elite Jewels Daily Wage),158,Wage,-200.0,138227.5
Tristan Barker (Katalytica Daily Wage),158,Wage,-536.0,137691.5
Maya Turner (Karvin Kueen Daily Wage),158,Wage,-32.0,137659.5
Oscar Evans (Katar Spirits Daily Wage),158,Wage,-46.0,137389.5
Annabelle Stewart (Katar Spirits Daily Wage),158,Wage,-198.0,137191.5
Abbie Lopez (Katar Spirits Daily Wage),158,Wage,-56.0,137135.5
Curtis Norris (Elite Jewels Daily Wage),158,Wage,-184.0,136951.5
Dominic Fisher (Elite Jewels Daily Wage),158,Wage,-184.0,136723.5
Katar Spirits Revenue,158,Revenue,4722.0,141309.4
Katalytica Revenue,158,Revenue,12600.0,153781.3
Karvin Kueen Revenue,158,Revenue,1870.0,155609.1
Elite Jewels Revenue,158,Revenue,26000.0,180450.6
Marketing campaigns for Katar Spirits,159,Marketing,-500.0,179532.6
Marketing campaigns for Katalytica,159,Marketing,-500.0,179032.6
Marketing campaigns for Karvin Kueen,159,Marketing,-500.0,178532.6
Marketing campaigns for Elite Jewels,159,Marketing,-6500.0,172032.6
Evie Jones (Katalytica Daily Wage),159,Wage,-448.0,171584.6
Lily Barton (Katalytica Daily Wage),159,Wage,-344.0,171240.6
Zoe Gomez (Elite Jewels Daily Wage),159,Wage,-256.0,170984.6
Tommy Brooks (Katalytica Daily Wage),159,Wage,-44.0,170940.6
Maria Willis (Karvin Kueen Daily Wage),159,Wage,-100.0,170078.7
Tristan Barker (Katalytica Daily Wage),159,Wage,-402.0,169676.7
Maya Turner (Karvin Kueen Daily Wage),159,Wage,-160.0,169516.7
Oscar Evans (Katar Spirits Daily Wage),159,Wage,-46.0,169246.7
Abbie Lopez (Katar Spirits Daily Wage),159,Wage,-224.0,169022.7
Traci Parker (Elite Jewels Daily Wage),159,Wage,-286.0,168736.7
Dominic Fisher (Elite Jewels Daily Wage),159,Wage,-184.0,168508.7
Katar Spirits Revenue,159,Revenue,5136.0,173508.6
Katalytica Revenue,159,Revenue,5400.0,178780.5
Karvin Kueen Revenue,159,Revenue,1870.0,180608.3
Elite Jewels Revenue,159,Revenue,32000.0,211449.8
Marketing campaigns for Katar Spirits,160,Marketing,-500.0,210531.8
Marketing campaigns for Katalytica,160,Marketing,-500.0,210031.8
Marketing campaigns for Karvin Kueen,160,Marketing,-500.0,209531.8
Marketing campaigns for Elite Jewels,160,Marketing,-6500.0,203031.8
Evie Jones (Katalytica Daily Wage),160,Wage,-448.0,202583.8
Tommy Brooks (Katalytica Daily Wage),160,Wage,-44.0,202539.8
Katherine Moss (Elite Jewels Daily Wage),160,Wage,-200.0,202339.8
Maria Willis (Karvin Kueen Daily Wage),160,Wage,-100.0,202085.9
Olivia Cox (Katalytica Daily Wage),160,Wage,-432.0,201653.9
Maya Turner (Karvin Kueen Daily Wage),160,Wage,-160.0,201493.9
Oscar Evans (Katar Spirits Daily Wage),160,Wage,-46.0,201447.9
Abbie Lopez (Katar Spirits Daily Wage),160,Wage,-224.0,201223.9
Traci Parker (Elite Jewels Daily Wage),160,Wage,-208.0,201015.9
Dominic Fisher (Elite Jewels Daily Wage),160,Wage,-184.0,200831.9
Katar Spirits Revenue,160,Revenue,6384.0,207079.8
Katalytica Revenue,160,Revenue,10800.0,217751.6
Karvin Kueen Revenue,160,Revenue,2210.0,219919.4
Elite Jewels Revenue,160,Revenue,48000.0,266760.9
Marketing campaigns for Katar Spirits,161,Marketing,-500.0,167300.1
Marketing campaigns for Katalytica,161,Marketing,-500.0,166800.1
Marketing campaigns for Karvin Kueen,161,Marketing,-500.0,166300.1
Marketing campaigns for Elite Jewels,161,Marketing,-6500.0,159800.1
Lily Barton (Katalytica Daily Wage),161,Wage,-258.0,159542.1
Tommy Brooks (Katalytica Daily Wage),161,Wage,-44.0,159498.1
Maria Willis (Karvin Kueen Daily Wage),161,Wage,-75.0,159269.2
Olivia Cox (Katalytica Daily Wage),161,Wage,-432.0,158837.2
Tristan Barker (Katalytica Daily Wage),161,Wage,-536.0,158301.2
Maya Turner (Karvin Kueen Daily Wage),161,Wage,-192.0,158109.2
Oscar Evans (Katar Spirits Daily Wage),161,Wage,-46.0,158063.2
Abbie Lopez (Katar Spirits Daily Wage),161,Wage,-224.0,157839.2
Curtis Norris (Elite Jewels Daily Wage),161,Wage,-184.0,157655.2
Traci Parker (Elite Jewels Daily Wage),161,Wage,-208.0,157447.2
Dominic Fisher (Elite Jewels Daily Wage),161,Wage,-184.0,157263.2
Katar Spirits Revenue,161,Revenue,5715.0,162842.1
Katalytica Revenue,161,Revenue,10800.0,173514.0
Karvin Kueen Revenue,161,Revenue,1870.0,175341.8
Elite Jewels Revenue,161,Revenue,42000.0,216183.3
Marketing campaigns for Katar Spirits,162,Marketing,-500.0,215265.3
Marketing campaigns for Katalytica,162,Marketing,-500.0,214765.3
Marketing campaigns for Karvin Kueen,162,Marketing,-500.0,214265.3
Marketing campaigns for Elite Jewels,162,Marketing,-6500.0,207765.3
Evie Jones (Katalytica Daily Wage),162,Wage,-448.0,184463.1
Lily Barton (Katalytica Daily Wage),162,Wage,-344.0,184119.1
Zoe Gomez (Elite Jewels Daily Wage),162,Wage,-256.0,183863.1
Tommy Brooks (Katalytica Daily Wage),162,Wage,-44.0,183819.1
Katherine Moss (Elite Jewels Daily Wage),162,Wage,-200.0,183435.1
Maria Willis (Karvin Kueen Daily Wage),162,Wage,-200.0,182881.2
Lindsey Richardson (Elite Jewels Daily Wage),162,Wage,-150.0,182731.2
Olivia Cox (Katalytica Daily Wage),162,Wage,-432.0,182299.2
Maya Turner (Karvin Kueen Daily Wage),162,Wage,-32.0,182267.2
Oscar Evans (Katar Spirits Daily Wage),162,Wage,-46.0,181997.2
Annabelle Stewart (Katar Spirits Daily Wage),162,Wage,-264.0,181733.2
Traci Parker (Elite Jewels Daily Wage),162,Wage,-78.0,181655.2
Katar Spirits Revenue,162,Revenue,4959.0,186434.1
Katalytica Revenue,162,Revenue,5400.0,191706.0
Karvin Kueen Revenue,162,Revenue,1870.0,193533.8
Elite Jewels Revenue,162,Revenue,39500.0,231875.3
Marketing campaigns for Katar Spirits,163,Marketing,-500.0,230957.3
Marketing campaigns for Katalytica,163,Marketing,-500.0,230457.3
Marketing campaigns for Karvin Kueen,163,Marketing,-500.0,229957.3
Marketing campaigns for Elite Jewels,163,Marketing,-6500.0,223457.3
Evie Jones (Katalytica Daily Wage),163,Wage,-448.0,221541.3
Lily Barton (Katalytica Daily Wage),163,Wage,-344.0,221197.3
Zoe Gomez (Elite Jewels Daily Wage),163,Wage,-256.0,220941.3
Tommy Brooks (Katalytica Daily Wage),163,Wage,-44.0,220897.3
Katherine Moss (Elite Jewels Daily Wage),163,Wage,-200.0,220289.3
Maria Willis (Karvin Kueen Daily Wage),163,Wage,-200.0,219735.4
Lindsey Richardson (Elite Jewels Daily Wage),163,Wage,-200.0,219535.4
Olivia Cox (Katalytica Daily Wage),163,Wage,-432.0,219103.4
Maya Turner (Karvin Kueen Daily Wage),163,Wage,-32.0,219071.4
Oscar Evans (Katar Spirits Daily Wage),163,Wage,-46.0,218801.4
Annabelle Stewart (Katar Spirits Daily Wage),163,Wage,-264.0,218537.4
Katar Spirits Revenue,163,Revenue,4332.0,222689.3
Katalytica Revenue,163,Revenue,5400.0,227961.2
Karvin Kueen Revenue,163,Revenue,1870.0,229789.0
Elite Jewels Revenue,163,Revenue,45000.0,273630.5
Marketing campaigns for Katar Spirits,164,Marketing,-500.0,272712.5
Marketing campaigns for Katalytica,164,Marketing,-500.0,272212.5
Marketing campaigns for Karvin Kueen,164,Marketing,-500.0,271712.5
Marketing campaigns for Elite Jewels,164,Marketing,-6500.0,265212.5
Evie Jones (Katalytica Daily Wage),164,Wage,-448.0,264758.5
Tommy Brooks (Katalytica Daily Wage),164,Wage,-44.0,264714.5
Maria Willis (Karvin Kueen Daily Wage),164,Wage,-200.0,263752.6
Lindsey Richardson (Elite Jewels Daily Wage),164,Wage,-200.0,263552.6
Olivia Cox (Katalytica Daily Wage),164,Wage,-432.0,263120.6
Tristan Barker (Katalytica Daily Wage),164,Wage,-536.0,262584.6
Maya Turner (Karvin Kueen Daily Wage),164,Wage,-32.0,262552.6
Oscar Evans (Katar Spirits Daily Wage),164,Wage,-46.0,262282.6
Annabelle Stewart (Katar Spirits Daily Wage),164,Wage,-264.0,262018.6
Curtis Norris (Elite Jewels Daily Wage),164,Wage,-184.0,261834.6
Dominic Fisher (Elite Jewels Daily Wage),164,Wage,-184.0,261606.6
Katar Spirits Revenue,164,Revenue,4242.0,265712.4
Katalytica Revenue,164,Revenue,12600.0,278184.3
Karvin Kueen Revenue,164,Revenue,1360.0,279502.1
Elite Jewels Revenue,164,Revenue,42500.0,320843.6
Marketing campaigns for Katar Spirits,165,Marketing,-500.0,319826.6
Marketing campaigns for Katalytica,165,Marketing,-500.0,319326.6
Marketing campaigns for Karvin Kueen,165,Marketing,-500.0,318826.6
Marketing campaigns for Elite Jewels,165,Marketing,-6500.0,312326.6
Evie Jones (Katalytica Daily Wage),165,Wage,-448.0,311878.6
Tommy Brooks (Katalytica Daily Wage),165,Wage,-44.0,311834.6
Maria Willis (Karvin Kueen Daily Wage),165,Wage,-200.0,311056.7
Lindsey Richardson (Elite Jewels Daily Wage),165,Wage,-200.0,310856.7
Olivia Cox (Katalytica Daily Wage),165,Wage,-432.0,310424.7
Tristan Barker (Katalytica Daily Wage),165,Wage,-536.0,309888.7
Maya Turner (Karvin Kueen Daily Wage),165,Wage,-32.0,309856.7
Oscar Evans (Katar Spirits Daily Wage),165,Wage,-46.0,309586.7
Annabelle Stewart (Katar Spirits Daily Wage),165,Wage,-198.0,309388.7
Abbie Lopez (Katar Spirits Daily Wage),165,Wage,-56.0,309332.7
Curtis Norris (Elite Jewels Daily Wage),165,Wage,-184.0,309148.7
Dominic Fisher (Elite Jewels Daily Wage),165,Wage,-184.0,308920.7
Katar Spirits Revenue,165,Revenue,5073.0,313857.6
Katalytica Revenue,165,Revenue,5400.0,319129.5
Karvin Kueen Revenue,165,Revenue,1700.0,320787.3
Elite Jewels Revenue,165,Revenue,40000.0,359628.8
Marketing campaigns for Katar Spirits,166,Marketing,-500.0,358611.8
Marketing campaigns for Katalytica,166,Marketing,-500.0,358111.8
Marketing campaigns for Karvin Kueen,166,Marketing,-500.0,357611.8
Marketing campaigns for Elite Jewels,166,Marketing,-6500.0,351111.8
Evie Jones (Katalytica Daily Wage),166,Wage,-448.0,350663.8
Lily Barton (Katalytica Daily Wage),166,Wage,-344.0,350319.8
Zoe Gomez (Elite Jewels Daily Wage),166,Wage,-256.0,350063.8
Tommy Brooks (Katalytica Daily Wage),166,Wage,-44.0,350019.8
Maria Willis (Karvin Kueen Daily Wage),166,Wage,-100.0,349157.9
Tristan Barker (Katalytica Daily Wage),166,Wage,-402.0,348755.9
Maya Turner (Karvin Kueen Daily Wage),166,Wage,-160.0,348595.9
Oscar Evans (Katar Spirits Daily Wage),166,Wage,-46.0,348325.9
Abbie Lopez (Katar Spirits Daily Wage),166,Wage,-224.0,348101.9
Traci Parker (Elite Jewels Daily Wage),166,Wage,-286.0,347815.9
Dominic Fisher (Elite Jewels Daily Wage),166,Wage,-184.0,347587.9
Katar Spirits Revenue,166,Revenue,5424.0,352875.8
Katalytica Revenue,166,Revenue,5400.0,358147.7
Karvin Kueen Revenue,166,Revenue,1870.0,359975.5
Elite Jewels Revenue,166,Revenue,45000.0,403817.0
Marketing campaigns for Katar Spirits,167,Marketing,-500.0,402800.0
Marketing campaigns for Katalytica,167,Marketing,-500.0,402300.0
Marketing campaigns for Karvin Kueen,167,Marketing,-500.0,401800.0
Marketing campaigns for Elite Jewels,167,Marketing,-6500.0,395300.0
Evie Jones (Katalytica Daily Wage),167,Wage,-448.0,394552.0
Katherine Moss (Elite Jewels Daily Wage),167,Wage,-200.0,394352.0
Maria Willis (Karvin Kueen Daily Wage),167,Wage,-100.0,394098.1
Olivia Cox (Katalytica Daily Wage),167,Wage,-432.0,393666.1
Maya Turner (Karvin Kueen Daily Wage),167,Wage,-160.0,393506.1
Oscar Evans (Katar Spirits Daily Wage),167,Wage,-46.0,393460.1
Abbie Lopez (Katar Spirits Daily Wage),167,Wage,-224.0,393236.1
Traci Parker (Elite Jewels Daily Wage),167,Wage,-208.0,393028.1
Dominic Fisher (Elite Jewels Daily Wage),167,Wage,-184.0,392844.1
Katar Spirits Revenue,167,Revenue,6720.0,399428.0
Katalytica Revenue,167,Revenue,10800.0,410099.9
Karvin Kueen Revenue,167,Revenue,2210.0,412267.7
Elite Jewels Revenue,167,Revenue,60000.0,471109.2
Marketing campaigns for Katar Spirits,168,Marketing,-500.0,470092.2
Marketing campaigns for Katalytica,168,Marketing,-500.0,469592.2
Marketing campaigns for Karvin Kueen,168,Marketing,-500.0,469092.2
Marketing campaigns for Elite Jewels,168,Marketing,-6500.0,462592.2
Lily Barton (Katalytica Daily Wage),168,Wage,-258.0,462334.2
Tommy Brooks (Katalytica Daily Wage),168,Wage,-44.0,462290.2
Maria Willis (Karvin Kueen Daily Wage),168,Wage,-75.0,462061.3
Olivia Cox (Katalytica Daily Wage),168,Wage,-432.0,461629.3
Tristan Barker (Katalytica Daily Wage),168,Wage,-536.0,461093.3
Maya Turner (Karvin Kueen Daily Wage),168,Wage,-192.0,460901.3
Oscar Evans (Katar Spirits Daily Wage),168,Wage,-46.0,460855.3
Abbie Lopez (Katar Spirits Daily Wage),168,Wage,-224.0,460631.3
Curtis Norris (Elite Jewels Daily Wage),168,Wage,-184.0,460447.3
Traci Parker (Elite Jewels Daily Wage),168,Wage,-208.0,460239.3
Dominic Fisher (Elite Jewels Daily Wage),168,Wage,-184.0,460055.3
Katar Spirits Revenue,168,Revenue,6096.0,466015.2
Katalytica Revenue,168,Revenue,10800.0,476687.1
Karvin Kueen Revenue,168,Revenue,1870.0,478514.9
Elite Jewels Revenue,168,Revenue,60000.0,537356.4
Marketing campaigns for Katar Spirits,169,Marketing,-500.0,536339.4
Marketing campaigns for Katalytica,169,Marketing,-500.0,535839.4
Marketing campaigns for Karvin Kueen,169,Marketing,-500.0,535339.4
Marketing campaigns for Elite Jewels,169,Marketing,-6500.0,528839.4
Evie Jones (Katalytica Daily Wage),169,Wage,-448.0,469899.1
Lily Barton (Katalytica Daily Wage),169,Wage,-344.0,469555.1
Zoe Gomez (Elite Jewels Daily Wage),169,Wage,-256.0,469299.1
Tommy Brooks (Katalytica Daily Wage),169,Wage,-44.0,469255.1
Katherine Moss (Elite Jewels Daily Wage),169,Wage,-200.0,468831.1
Maria Willis (Karvin Kueen Daily Wage),169,Wage,-200.0,468277.2
Lindsey Richardson (Elite Jewels Daily Wage),169,Wage,-150.0,468127.2
Olivia Cox (Katalytica Daily Wage),169,Wage,-432.0,467695.2
Maya Turner (Karvin Kueen Daily Wage),169,Wage,-32.0,467663.2
Oscar Evans (Katar Spirits Daily Wage),169,Wage,-46.0,467393.2
Annabelle Stewart (Katar Spirits Daily Wage),169,Wage,-264.0,467129.2
Traci Parker (Elite Jewels Daily Wage),169,Wage,-78.0,467051.2
Katar Spirits Revenue,169,Revenue,5145.0,472016.1
Katalytica Revenue,169,Revenue,5400.0,477287.9
Karvin Kueen Revenue,169,Revenue,1870.0,479115.8
Elite Jewels Revenue,169,Revenue,40000.0,517957.3
Marketing campaigns for Katar Spirits,170,Marketing,-500.0,516940.3
Marketing campaigns for Katalytica,170,Marketing,-500.0,516440.3
Marketing campaigns for Karvin Kueen,170,Marketing,-500.0,515940.3
Marketing campaigns for Elite Jewels,170,Marketing,-6500.0,509440.3
Evie Jones (Katalytica Daily Wage),170,Wage,-448.0,508992.3
Lily Barton (Katalytica Daily Wage),170,Wage,-344.0,508648.3
Zoe Gomez (Elite Jewels Daily Wage),170,Wage,-256.0,508392.3
Tommy Brooks (Katalytica Daily Wage),170,Wage,-44.0,508348.3
Katherine Moss (Elite Jewels Daily Wage),170,Wage,-200.0,507924.3
Maria Willis (Karvin Kueen Daily Wage),170,Wage,-200.0,507370.3
Lindsey Richardson (Elite Jewels Daily Wage),170,Wage,-200.0,507170.3
Olivia Cox (Katalytica Daily Wage),170,Wage,-432.0,506738.3
Maya Turner (Karvin Kueen Daily Wage),170,Wage,-32.0,506706.3
Oscar Evans (Katar Spirits Daily Wage),170,Wage,-46.0,506436.3
Annabelle Stewart (Katar Spirits Daily Wage),170,Wage,-264.0,506172.3
Katar Spirits Revenue,170,Revenue,5028.0,511020.3
Katalytica Revenue,170,Revenue,5400.0,516292.1
Karvin Kueen Revenue,170,Revenue,1870.0,518119.9
Elite Jewels Revenue,170,Revenue,47500.0,564461.4
Marketing campaigns for Katar Spirits,171,Marketing,-500.0,563444.4
Marketing campaigns for Katalytica,171,Marketing,-500.0,562944.4
Marketing campaigns for Karvin Kueen,171,Marketing,-500.0,562444.4
Marketing campaigns for Elite Jewels,171,Marketing,-6500.0,555944.4
Evie Jones (Katalytica Daily Wage),171,Wage,-448.0,555156.4
Tommy Brooks (Katalytica Daily Wage),171,Wage,-44.0,555112.4
Maria Willis (Karvin Kueen Daily Wage),171,Wage,-200.0,554334.6
Lindsey Richardson (Elite Jewels Daily Wage),171,Wage,-200.0,554134.6
Olivia Cox (Katalytica Daily Wage),171,Wage,-432.0,553702.6
Tristan Barker (Katalytica Daily Wage),171,Wage,-536.0,553166.6
Maya Turner (Karvin Kueen Daily Wage),171,Wage,-32.0,553134.6
Oscar Evans (Katar Spirits Daily Wage),171,Wage,-46.0,552864.6
Annabelle Stewart (Katar Spirits Daily Wage),171,Wage,-264.0,552600.6
Curtis Norris (Elite Jewels Daily Wage),171,Wage,-184.0,552416.6
Dominic Fisher (Elite Jewels Daily Wage),171,Wage,-184.0,552188.6
Katar Spirits Revenue,171,Revenue,4242.0,556294.5
Katalytica Revenue,171,Revenue,5400.0,561566.4
Karvin Kueen Revenue,171,Revenue,1360.0,562884.2
Elite Jewels Revenue,171,Revenue,47500.0,609225.7
Marketing campaigns for Katar Spirits,172,Marketing,-500.0,608208.7
Marketing campaigns for Katalytica,172,Marketing,-500.0,607708.7
Marketing campaigns for Karvin Kueen,172,Marketing,-500.0,607208.7
Marketing campaigns for Elite Jewels,172,Marketing,-6500.0,600708.7
Evie Jones (Katalytica Daily Wage),172,Wage,-448.0,101068.7
Tommy Brooks (Katalytica Daily Wage),172,Wage,-44.0,101024.7
Maria Willis (Karvin Kueen Daily Wage),172,Wage,-200.0,100246.8
Lindsey Richardson (Elite Jewels Daily Wage),172,Wage,-200.0,100046.8
Olivia Cox (Katalytica Daily Wage),172,Wage,-432.0,99614.79
Tristan Barker (Katalytica Daily Wage),172,Wage,-536.0,99078.79
Maya Turner (Karvin Kueen Daily Wage),172,Wage,-32.0,99046.79
Oscar Evans (Katar Spirits Daily Wage),172,Wage,-46.0,98776.79
Annabelle Stewart (Katar Spirits Daily Wage),172,Wage,-198.0,98578.79
Abbie Lopez (Katar Spirits Daily Wage),172,Wage,-56.0,98522.79
Curtis Norris (Elite Jewels Daily Wage),172,Wage,-184.0,98338.79
Dominic Fisher (Elite Jewels Daily Wage),172,Wage,-184.0,98110.79
Katar Spirits Revenue,172,Revenue,5121.0,103095.7
Katalytica Revenue,172,Revenue,5400.0,108367.6
Karvin Kueen Revenue,172,Revenue,1870.0,110195.4
Elite Jewels Revenue,172,Revenue,40000.0,149036.8
Marketing campaigns for Katar Spirits,173,Marketing,-500.0,148536.8
Marketing campaigns for Katalytica,173,Marketing,-500.0,148036.8
Marketing campaigns for Karvin Kueen,173,Marketing,-500.0,147536.8
Marketing campaigns for Elite Jewels,173,Marketing,-6500.0,141036.8
Evie Jones (Katalytica Daily Wage),173,Wage,-448.0,126222.8
Lily Barton (Katalytica Daily Wage),173,Wage,-344.0,125878.8
Tommy Brooks (Katalytica Daily Wage),173,Wage,-44.0,125834.8
Maria Willis (Karvin Kueen Daily Wage),173,Wage,-100.0,125156.9
Tristan Barker (Katalytica Daily Wage),173,Wage,-402.0,124754.9
Maya Turner (Karvin Kueen Daily Wage),173,Wage,-160.0,124594.9
Oscar Evans (Katar Spirits Daily Wage),173,Wage,-46.0,124324.9
Abbie Lopez (Katar Spirits Daily Wage),173,Wage,-224.0,124100.9
Traci Parker (Elite Jewels Daily Wage),173,Wage,-286.0,123814.9
Dominic Fisher (Elite Jewels Daily Wage),173,Wage,-184.0,123586.9
Katar Spirits Revenue,173,Revenue,5472.0,128922.8
Katalytica Revenue,173,Revenue,5400.0,134194.7
Karvin Kueen Revenue,173,Revenue,1870.0,136022.5
Elite Jewels Revenue,173,Revenue,37500.0,172364.0
Marketing campaigns for Katar Spirits,174,Marketing,-500.0,171864.0
Marketing campaigns for Katalytica,174,Marketing,-500.0,171364.0
Marketing campaigns for Karvin Kueen,174,Marketing,-500.0,170864.0
Marketing campaigns for Elite Jewels,174,Marketing,-6500.0,164364.0
Evie Jones (Katalytica Daily Wage),174,Wage,-448.0,163916.0
Tommy Brooks (Katalytica Daily Wage),174,Wage,-44.0,163872.0
Maria Willis (Karvin Kueen Daily Wage),174,Wage,-100.0,163618.1
Olivia Cox (Katalytica Daily Wage),174,Wage,-432.0,163186.1
Maya Turner (Karvin Kueen Daily Wage),174,Wage,-160.0,163026.1
Oscar Evans (Katar Spirits Daily Wage),174,Wage,-46.0,162980.1
Abbie Lopez (Katar Spirits Daily Wage),174,Wage,-224.0,162756.1
Traci Parker (Elite Jewels Daily Wage),174,Wage,-208.0,162548.1
Dominic Fisher (Elite Jewels Daily Wage),174,Wage,-184.0,162364.1
Katar Spirits Revenue,174,Revenue,6720.0,168948.0
Katalytica Revenue,174,Revenue,10800.0,179619.9
Karvin Kueen Revenue,174,Revenue,2210.0,181787.7
Elite Jewels Revenue,174,Revenue,60000.0,240629.2
Marketing campaigns for Katar Spirits,175,Marketing,-500.0,240129.2
Marketing campaigns for Katalytica,175,Marketing,-500.0,239629.2
Marketing campaigns for Karvin Kueen,175,Marketing,-500.0,239129.2
Marketing campaigns for Elite Jewels,175,Marketing,-6500.0,232629.2
Lily Barton (Katalytica Daily Wage),175,Wage,-258.0,231991.2
Tommy Brooks (Katalytica Daily Wage),175,Wage,-44.0,231947.2
Maria Willis (Karvin Kueen Daily Wage),175,Wage,-75.0,231718.3
Olivia Cox (Katalytica Daily Wage),175,Wage,-432.0,231286.3
Tristan Barker (Katalytica Daily Wage),175,Wage,-536.0,230750.3
Maya Turner (Karvin Kueen Daily Wage),175,Wage,-192.0,230558.3
Oscar Evans (Katar Spirits Daily Wage),175,Wage,-46.0,230512.3
Abbie Lopez (Katar Spirits Daily Wage),175,Wage,-224.0,230288.3
Curtis Norris (Elite Jewels Daily Wage),175,Wage,-184.0,230104.3
Traci Parker (Elite Jewels Daily Wage),175,Wage,-208.0,229896.3
Dominic Fisher (Elite Jewels Daily Wage),175,Wage,-184.0,229712.3
Katar Spirits Revenue,175,Revenue,6231.0,235807.2
Katalytica Revenue,175,Revenue,10800.0,246479.1
Karvin Kueen Revenue,175,Revenue,1870.0,248306.9
Elite Jewels Revenue,175,Revenue,52500.0,299648.4
Marketing campaigns for Katar Spirits,176,Marketing,-500.0,299148.4
